signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190308604718,ATTRIB,1478190308.6066809,1478190311.382243,2.775562047958374,"Node3C,Node1C,Node7C,Node4C,Node6C,Node5C,Node2C",,"Node2C,Node7C,Node6C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190308493072,ATTRIB,1478190308.4940557,1478190311.5194163,3.025360584259033,"Node6C,Node7C,Node1C,Node5C,Node2C,Node4C,Node3C",,"Node6C,Node3C,Node7C,Node5C,Node2C,Node4C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190308750917,ATTRIB,1478190308.751786,1478190311.8006096,3.048823595046997,"Node7C,Node6C,Node1C,Node5C,Node2C,Node3C,Node4C",,"Node3C,Node7C,Node6C,Node1C,Node4C,Node5C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190308765966,ATTRIB,1478190308.7664626,1478190312.0888007,3.322338104248047,"Node7C,Node1C,Node4C,Node3C,Node6C,Node5C,Node2C",,"Node7C,Node5C,Node2C,Node3C,Node6C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190308818554,ATTRIB,1478190308.8192635,1478190312.096316,3.277052640914917,"Node6C,Node1C,Node7C,Node3C,Node5C,Node4C,Node2C",,"Node6C,Node5C,Node7C,Node3C,Node2C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190308933405,ATTRIB,1478190308.9344125,1478190312.2280269,3.293614387512207,"Node2C,Node7C,Node6C,Node1C,Node3C,Node4C,Node5C",,"Node3C,Node2C,Node7C,Node5C,Node6C,Node1C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190311383916,ATTRIB,1478190311.3880813,1478190314.1560595,2.7679781913757324,"Node3C,Node1C,Node7C,Node4C,Node6C,Node5C,Node2C",,"Node3C,Node4C,Node7C,Node6C,Node5C,Node2C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190311520724,ATTRIB,1478190311.5212612,1478190314.545125,3.0238637924194336,"Node6C,Node7C,Node1C,Node5C,Node2C,Node4C,Node3C",,"Node6C,Node3C,Node7C,Node1C,Node5C,Node2C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190311801483,ATTRIB,1478190311.8018909,1478190314.582892,2.781001091003418,"Node7C,Node6C,Node1C,Node5C,Node2C,Node3C,Node4C",,"Node3C,Node7C,Node5C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190312095134,ATTRIB,1478190312.0958927,1478190314.8658931,2.770000457763672,"Node7C,Node1C,Node4C,Node3C,Node6C,Node5C,Node2C",,"Node7C,Node5C,Node4C,Node1C,Node6C,Node3C,Node2C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190312097288,ATTRIB,1478190312.0977247,1478190314.872897,2.775172233581543,"Node6C,Node1C,Node7C,Node3C,Node5C,Node4C,Node2C",,"Node6C,Node5C,Node1C,Node7C,Node4C,Node3C,Node2C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190312234873,ATTRIB,1478190312.2353096,1478190315.015006,2.779696464538574,"Node2C,Node7C,Node6C,Node1C,Node3C,Node4C,Node5C",,"Node3C,Node2C,Node7C,Node5C,Node6C,Node1C"
